web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1724337360-49","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X34g","","Rp 23.000"
"1724337360-50","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","","Rp 5.400"
"1724337360-51","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","","Rp 5.400"
"1724337360-52","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","","Rp 5.400"
"1724337360-53","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","","Rp 5.400"
"1724337360-54","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meises 90G","","Rp 6.900"
"1724337360-55","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meisis Mix 225G","","Rp 13.900"
"1724337360-56","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 225g","","Rp 13.900"
"1724337360-57","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","","Rp 14.900"
"1724337360-58","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","","Rp 14.900"
"1724337360-59","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 19.200"
"1724337360-60","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Coco Fills 60G","","Rp 10.900"
"1724337360-61","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 10.900"
"1724337360-62","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.900"
"1724337360-63","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1724337360-64","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 4.500"
"1724337360-65","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 7.000"
"1724337360-66","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","","Rp 9.100"
"1724337360-67","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1724337360-68","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.700"
"1724337360-69","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 26.600"
"1724337360-70","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 29.100"
"1724337360-71","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","","Rp 25.000"
"1724337360-72","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 25.000"
"1724337360-73","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 21.000"
"1724337360-74","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1724337360-75","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1724337360-76","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1724337360-77","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1724337360-78","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","","Rp 9.100"
"1724337360-79","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.300"
"1724337360-80","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1724337360-81","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1724337360-82","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 23.300"
"1724337360-83","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","","Rp 9.700"
"1724337360-84","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 3.900"
"1724337360-85","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","","Rp 44.000"
"1724337360-86","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.000"
"1724337360-87","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 4.000"
"1724337360-88","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 4.000"
"1724337360-89","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 4.500"
"1724337360-90","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 4.500"
"1724337360-91","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 3.500"
"1724337360-92","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 3.500"
"1724337360-93","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 3.500"
"1724337360-94","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 3.500"
"1724337360-95","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 3.500"
"1724337360-96","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","","Rp 31.300"
"1724337360-97","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","","Rp 13.900"
"1724337360-98","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","","Rp 27.200"
